sentence,intent
Cám ơn bạn nhiều lắm nè,thank
Cho mình ảnh chụp full với,query_knowledge_base
Dùng cho bé đến mấy tuổi vậy,query_knowledge_base
Vâng nhanh nhất cho e nhé,agree
Cho mình đặt cái nôi này nha,query_knowledge_base
Vậy cám ơn shop nhiu nhé,thank
Dung rồi b,agree
Ma ko phai,disagree
alo b ô,greet
Máy bảo hành k chị,query_knowledge_base
anh nhận được rồi hen. cảm ơn em nhìu hen,thank
Ok cam ơn b,thank
Ok c thanks c,thank
Vì con trai m k thích có màu hồng lắm,disagree
CÁm ơn shop nhé,thank
Cho t lấy quây sz M góc vuông nhé,query_knowledge_base
Xin link shopppe shop,query_knowledge_base
b ơiii,greet
Vâng ok bank,agree
Hi bn,greet
"Ok nhé ko dc free ship hở, uh ok",agree
Uh đúng rồi s,agree
Alo bạn ou,greet
2 màu này t lại k thích,disagree
"Dạ vâng ạ, em biết rồi ạ",agree
Alo Shiop,greet
Ok cảm ơn,thank
Uki c. Cảm ơn hé.,thank
ko phải dát giường,disagree
Ố b ơi,greet
shop ơi thảm nặng bao nhiêu kg,query_knowledge_base
Ko phải loại này,disagree
cho mình hỏi 2 sp này giá ntn nhỉ,query_knowledge_base
Alooo e ơi,greet
c c oi,greet
Bajn oi,greet
À vâng mình quên mất,agree
Uki m cảm ơn nhé,thank
Hi ban,greet
Hiện shop mình còn sẵn loại nào?,query_knowledge_base
Có cỡ lớn hẳn k a,query_knowledge_base
auto rep à shop,ask_is_bot
okie thanks b,thank
ko phải cái vệ sinh dây,disagree
Đúng rồi h,agree
Gửi tớ cái Hope với,query_knowledge_base
vâng ko sao,agree
Uh Uh,agree
b ơi giường nhựa bên b giá bao nhiu b,query_knowledge_base
E ko thích mấy màu ý,disagree
Vâng ok b nhé,agree
ơ bạn ơi,greet
Cai dau tien mau xanh,query_knowledge_base
DUNG ROI,agree
Nhưg shop ơi,greet
K phai,disagree
Em xin cam on ạ,thank
Mình muốn lấy cái aofider màu tím than chứ ko phải jiuse3 màu than,disagree
báo giá nha dhop,query_knowledge_base
Chị ko thích shoppee,disagree
Chih ơi,greet
"Bố đấy, ko phải mẹ đâu",disagree
"Cám ơn shop ạ, để mình order qua shopee",thank
Alo b ơi,greet
Dạ em cảm ơn nhé,thank
Người hay chatbot?,ask_is_bot
Màu này chứ k phải xanh lá nhé,disagree
Cho minh hỏi xe đẩy combi/aprica bên bạn bao hành thế nào A?,query_knowledge_base
Người hay chatbot vậy shop,ask_is_bot
Dạ vâg cảm ơn ạ. Có gì mình liên hệ sau,thank
Đúng rôi,agree
Chị oi?,greet
đúng rồi em a,agree
có những màu gì chị nhỉ,query_knowledge_base
chi ới,greet
Em ôi,greet
Vâng chị :),agree
K phai cái này,disagree
Alo ạ,greet
Xe này bé bn tuổi sử dụng đc ạ?,query_knowledge_base
Máy pha sữa bao nhiêu shop,query_knowledge_base
Dung roi c,agree
chatbot hay nhân viên vậy?,ask_is_bot
Thanks nhiều ah,thank
K phải trắng,disagree
Ko phải bộ hồng,disagree
Alo ạk,greet
HI em,greet
"Alo e,",greet
Mẫu dưới có mầu hồng ko ạ,query_knowledge_base
Alo shop ?,greet
alo9,greet
Màu này đậm chị ko thích đâu nha,disagree
"cho m hỏi chút, sp xuất xứ nc nào ạ",query_knowledge_base
Cảm ơn shop để mih xem lại đã nha,thank
Dạ vâng ok ạ,agree
b ơi\,greet
K phải gấu bông,disagree
dang chat voi chatbot hay nguoi the?,ask_is_bot
B ơi bên m có thanh chắn giuoefng umo k,query_knowledge_base
alooooooooooooooooooooo,greet
Alo ạ!,greet
ok thank b nhiều,thank
Alo chị ưoi,greet
Em cam on a?,thank
Aloo!,greet
Hi SHOP,greet
"Uh đúng rồi bạn, r5 royal city, 72a nguyễn trãi, 0967606768",agree
Cho m hỏi cái bộ chặn này kích thước dài rộng như nào và bao xiền,query_knowledge_base
Alo?,greet
alo shop oai,greet
Vâng ok shop nhé,agree
cho mình xem ảnh được ko,query_knowledge_base
Shop sử dụng chatbot à,ask_is_bot
K phải ở huyện đâu,disagree
Ko phải gửi xe đâu,disagree
giá sao nua,query_knowledge_base
Alo.alo shop,greet
Alo Shop ưoi,greet
Alo ola,greet
hi shoip,greet
Mh nhìn ảnh fb cũng k thích màu nâu :(,disagree
Ok cảm ơn ban,thank
Dạ k phải,disagree
Ghế nhún chứ k phải gấu nhún,disagree
Nó mấy lớp và là chất liệu j thế cậu?,query_knowledge_base
bên mình có gh  ăn dặm newber và thảm trải sàn ko ạ,query_knowledge_base
alô c ơi,greet
Cảm ơn shop mình đã nhận đc tiền rồi.,thank
còn xe tập đi kia của bé là cái chỗ ngồi   da à b,query_knowledge_base
Cảm ơn sh nha. Để m hỏi ox xem.,thank
Cam on shop nhieu!!!,thank
Hi shop₫,greet
Oke. Thanks shop có gì mình sẽ ib sau nha. Ngâm cứu reivew đã,thank
Shop ơi ...,greet
Tủ này chất liệu là j vậy b,query_knowledge_base
vâng tks shop,agree
Không phải hình này a,disagree
dạ vâng vậy đẻ e sắp xếp thời gian,agree
Minh ko thich mau cam,disagree
Alo e ơi?,greet
Dạ đúng roiif ak,agree
"Em nhận đc rùi nhe chị, thanks chị nhiều ạ",thank
cái nào hog phải trung quốc sx á shop,query_knowledge_base
Ko phải cái này,disagree
Có những hình nào hả chị,query_knowledge_base
Vâng ạ giúp em cái nhé. 😅,agree
Ko phải địa chỉ này đâu,disagree
Dạ Vâng ạ,agree
khong phai. cai sp nay ne,disagree
K phải gửi bưu điện ạ.,disagree
Dạ vâng.the thoi ạ,agree
Ko phải để tủ,disagree
ALO SHOP OI,greet
Vậy c ơi,greet
Cho mih xem ảnh dc ko b,query_knowledge_base
vâng tks chị,agree
Mình k thích matcha,disagree
Size lớn bnhiu ạ,query_knowledge_base
Đúng rồi nhà c có sẵn,agree
alo ạ?,greet
ok minh cam ơn nhé,thank
oi c ơi,greet
thank sh nhea,thank
Hi dạ :)),greet
"Mình cảm ơn b, mình hỏi chồng xong sẽ liên lạc lại nhé 😍❤️",thank
alo chị oi,greet
Dạ vâng. Oke shop,agree
Co màu gi hả b,query_knowledge_base
máy này sx ở trung quốc hả b,query_knowledge_base
Vâng đủ hết rồi,agree
Alo em??,greet
xe đó của nước nào vậy,query_knowledge_base
Chị ko muốn cái màu xanh đâu,disagree
Sh ới,greet
CHi oi?,greet
Đúng rôid,agree
Vâng. Hi vọng chất lượng ưng ý ah,agree
shop oi nguoi hay bot the ah?,ask_is_bot
"Hi anh/chị,",greet
alo shop ơi?,greet
K phải phao cổ ạ,disagree
K phải b ạ,disagree
Alo shop oie,greet
Alo sh,greet
"Ok shop, e cam on ạ",thank
Cái này ko phải do bên mik,disagree
Thế cho e đặt thảm silicon 1m4 1m4 và bộ bát lock and lock ạ,query_knowledge_base
ca giường ca nêm 2200k ha shop,query_knowledge_base
Vâng ak. Hehe.,agree
Okie thanks b nha,thank
Ok M cám ơn,thank
Ng hay chatbot?,ask_is_bot
alo 123,greet
Hi b,greet
Màu này e k thích lắm,disagree
Vâng. Đúng r ạ.,agree
bạn ơi hàng này của nước nào b,query_knowledge_base
s shop oi,greet
Đúng rồi bạn.,agree
Nhưng chih ko thích binh nhựa mền,disagree
Em k thích chicco lắm,disagree
K phải là căng đét,disagree
Có màu xanh ko a,query_knowledge_base
Chị ói,greet
vâng e cảm oen ạ,agree
Vâng ah. Để e qua xem,agree
Vâng Hn,agree
À vâng thế ok ạ,agree
gh  dài rộng bn ạ,query_knowledge_base
Auto-reply à?,ask_is_bot
mih càm ơn,thank
"Hi. Thanks bann
J",thank
Alo shop ah,greet
Máy xay hấp có bảo hành k bạn?,query_knowledge_base
Vâng rành ạ,agree
"K phải, mình đang dùng pump mà :)",disagree
Đúng rồi á bạn,agree
"Hi shop ,",greet
m k thích,disagree
à uhm oke b,agree
bnhiu ai,query_knowledge_base
Ah k phải miếng lót đó cậu ơi,disagree
E lấy 3c có giảm giá chút nào k c,query_knowledge_base
shop dang dung chatbot a?,ask_is_bot
thú nhún thì còn màu j hả b,query_knowledge_base
Vâng e thấy z,agree
Cảm ơn c đã gửi quà tặng kèm cho bé 💋❤️,thank
Không phải shop ơi,disagree
Uhm đúng rồi,agree
M cám ơn nl,thank
ĐÚng rồi bạn,agree
à em ơi,greet
aloooo shop ơi,greet
Shpp ơi,greet
alo shop oie,greet
dạ m  cảm ơn ạ\,thank
Shop ơi mình đặt 1 cũi 1m5x1m8,query_knowledge_base
Cám ơn. b,thank
Alo ak,greet
đúng rồi shop nhé,agree
Vâng. Để mjh vào ktra ak,agree
Da em nhan xe ruu ah. Em cam on shop ah ☺️,thank
À uh nhỉ,agree
bot hay nvien vậy?,ask_is_bot
nhug bóng thì minh ko thích màu hồng 😂😂,disagree
Vấn đề ko phải là giá,disagree
màu đỏ mình k thích lắm,disagree
Ko phải của Nutri,disagree
Bé trai m k muốn màu hồng,disagree
giá thì ko phải là vấn đề,disagree
Ghế ăn dặm thì bé ko thích ngồi,disagree
Chị ko thích màu đen,disagree
vay cam on b nhe,thank
Huhu b ơi,greet
Câu ới,greet
Tu nay con ko shop pi,query_knowledge_base
Ah uh.,agree
Hi ukie shop,greet
C ơi !,greet
c oiiiii,greet
Trùi ui,greet
Alo bạn ơi,greet
em có kích thuớc  xe đấy ko,query_knowledge_base
thank b.de mih vo xem,thank
Uh. Dung roi,agree
Đúng rồi nhà!,agree
vâng tại e thấy hơi nhỏ,agree
Màu xanh Bao Tiên hả b,query_knowledge_base
dạ đúng roi,agree
Shop su dung bot ah?,ask_is_bot
thảm silicon của nước nào vậy ạ,query_knowledge_base
E ko thích car,disagree
Chiều rộng và ngang bnh vay shop,query_knowledge_base
"Thanks ad nhìu,",thank
Uh mình cảm ơn nhé 😊,thank
Ko phải vì sữa ít đâu,disagree
Ko dchi khac,disagree
bạn cho hỏi bên bạn còn xe đẩy vovo k,query_knowledge_base
Đúng rồi. 2 set như mình gửi nhé,agree
Vâng e cam ơn,thank
ủa cậu ơi,greet
"Vâng, cảm ơn bạn",thank
oki thanks sh nha,thank
nó của nước nào vâyh,query_knowledge_base
Alooooo,greet
gh  thì có màu như trong ask about video e gửi ko ạ,query_knowledge_base
Alo ấy ơi,greet
M8 2m2 thì bao nhiêu ạ,query_knowledge_base
Vâng ạ. Em cảm ơn,thank
shop ơi bot hay nhân viên vậy ạ?,ask_is_bot
Nặng bao nhiêu kg ạ,query_knowledge_base
Hinh dun nuoc moaz gia bn,query_knowledge_base
Cám ơn shop. Có gì mình liên hệ sau.,thank
Okie m cám ơn nhé,thank
Uk ok thank b nhé,thank
Màu 1 t k thích lắm,disagree
Ok. Cảm ơn shop nha.,thank
Đung rồi bạn,agree
Chất liệu là vải hả bạn?,query_knowledge_base
trời ơi em,greet
"Bạn tư vấn giúp mình những vấn đề sau để mình chốt đơn hàng nhé
Cũi đc bảo hành như nào ạ?",query_knowledge_base
Cảm ơn bạn nhé 😊,thank
Comoto thì silicon a k thích lắm,disagree
minh cam on nhé,thank
Mẫu này mình k thích lắm,disagree
À v thôi mình cám ơn shop ạ. Có dịp sẽ ủng hộ shop nè. Shop thông cảm hen.,thank
Ko phải loại này c ạ,disagree
Da vâng ạ,agree
Vâng c 😍,agree
bên bạn còn chương trình khuy n mại xích đu cầu trượt ko bạn,query_knowledge_base
Ko phai ban,disagree
Bạn ơi ghế này mặt ghế là vải ạ,query_knowledge_base
Chăn ấy mình ko thích lắm,disagree
Chị Thuy oi,greet
Alo gấu,greet
Có món j cho b 5 tuổi dc k b,query_knowledge_base
Bên bạn còn màu gì bạn ơi để mình chọn r chốt đơn luôn,query_knowledge_base
Ờ đúng ròii này,agree
vâng p,agree
C ko thích vàng,disagree
alo chị ơi,greet
Ok Thanks bạn nhé,thank
Cho m 1c cho trẻ 5 tháng tuổi nhé. Cho m xem mấy loại đi cả xúc sắc nữa,query_knowledge_base
vâng. đến đó toàn phụ nữ sau sinh bị,agree
Alo shop oi???,greet
Aloooooo ạ,greet
Aloe,greet
Cám ơn e nhea,thank
Shop ơi người hay chatbot thế ạ?,ask_is_bot
Khăn ướt lec còn kmai k e?,query_knowledge_base
Có chọn màu kiểu j k s?,query_knowledge_base
Hi page,greet
b uii,greet
Màu nâu tớ lại ko thích,disagree
Giá ghế ngồi này bnhieu b,query_knowledge_base
này xuất xứ đâu vậy e,query_knowledge_base
bn vay ah,query_knowledge_base
có phải bot ko shop?,ask_is_bot
alo chi oi,greet
mastela của nước nào bạn,query_knowledge_base
Hi x,greet
"E
Cảm ơn",thank
Ah bên e có giày tập đi ko,query_knowledge_base
Vâng đc c ạ,agree
sh oi nvien hay bot vay?,ask_is_bot
E muốn mua bình tiệt trùng và sấy khô fazt,query_knowledge_base
"Ơ shop ơi,",greet
mình ko thích,disagree
B cho mình 2 miếng 2m 1 miếng 1m8 màu xanh nhé,query_knowledge_base
Loại của Media có giá mềm ko ?,query_knowledge_base
Shop ktra giúp mình quây về chưa ạ?,query_knowledge_base
Bn ơi.,greet
Khug đen chứ ko phải khung nhôm đâu ^^,disagree
Hihi Thank bạn,thank
Chứ k phải màu xanh này,disagree
Alo SHop,greet
Nhân viên hay chatbot vậy?,ask_is_bot
cho mình hỏi máy là của nước nào vậy ạ,query_knowledge_base
E k thích loại ngồi dạng chân ra đâu nha c,disagree
T k thích màu hồng @@,disagree
cái đó là của hiệu nào vậy,query_knowledge_base
Cái này k phải là nôi xách tay,disagree
Alo shop gấu,greet
Mấy mẫu đó e k thích lắm,disagree
Dạ ok cám ơn bạn,thank
Vâng oke b nha,agree
Ko phải ở xa đâu😂,disagree
Hic ok cám ơn bạn nhé,thank
ALo,greet
"Vâng bạn. Để tớ nghiên cứu thêm, có gì tớ báo bạn nhé",agree
"Da, e cam on☺",thank
thank bạn hen,thank
Có đc bảo hành k sh,query_knowledge_base
T ko thích cái này lắm,disagree
alooo ban oi,greet
À uh m nhìn nhầm,agree
Bạn oi!@,greet
Vâng e hiểu mat,agree
Thảm dưới bằg chất liệu gì thế b,query_knowledge_base
Vâng. Về m xem lại ạ.,agree
Cam on b nhe m ms lang pai cam on b ma,thank
"Oke, thank shop nhé",thank
rộng là 46 còn cao là 65 ạ?,query_knowledge_base
"Da,e thanks",thank
Uhm cám ơn e,thank
Shop ơi????,greet
M ko thích đồ trung quốc đâu,disagree
Không phải,disagree
cho t 1 cái này,query_knowledge_base
thanks shop ne,thank
Umoo là của nước nào ạ,query_knowledge_base
Vang e cam ôn c,thank
Ôi cảm ơn shop nhé,thank
Hi shop ah,greet
Aloooo c ơi,greet
cam ơn sh,thank
Tớ cám ơn,thank
Em cám ơn ship,thank
xe này của hãng nào vậy shop,query_knowledge_base
gh  bn  b  ngồi đc đ n mấy tuổi  thấy bé bé  hj,query_knowledge_base
dung roi b nhe,agree
T cảm ơn B,thank
Bạn ơi máy này giá bn.,query_knowledge_base
Vâng mình cám ơn ạ,thank
Mẫu này m ko thích lắm,disagree
Đúng roi shop. Nên ghế này minh mới mua trực tiếp đó,agree
cho mình hình xích đu 360 độ của bên bạn đc ko,query_knowledge_base
Dạ ok cảm ơn shop m sẽ đọc kĩ để ngâm cứu ạ,thank
shope oie,greet
alo.,greet
C iu ui,greet
"Alo,c",greet
gh  thì có màu như trong video e gửi ko ạ,query_knowledge_base
aloooooooo,greet
Hihihi...Nhiều tiền quá !!!  Cám ơn bạn,thank
Cảm ơn chị a,thank
Chế ơi,greet
Em cám ơn chị!,thank
Chất liệu gì ạ,query_knowledge_base
bên mình có máy hâm sữa nào 40 độ mà hiệu xài tốt tốt k ạ,query_knowledge_base
vâng. v e đặt shopee ạ,agree
Ko phải bây giờ,disagree
Khung xe làm chất liệu gì?,query_knowledge_base
Alo sho,greet
Alo shop ơii,greet
hãng này là hãng nào hả e,query_knowledge_base
alo,greet
Dạ vâng e cảm ơn nh ạ,thank
Dạ em cảm ơn J,thank
Alo bạn oi,greet
Alo ban,greet
Nặng k bạn,query_knowledge_base
Ug đúng rồi,agree
gh  mấy kg th  shop,query_knowledge_base
Da m cam on a,thank
Cám ơn shop nha. Bé mình còn nằm,thank
Alo e ô,greet
K phải bằng nhựa ak C,query_knowledge_base
Vay ah Uh,agree
B ấy ơi,greet
Thanks e nhìu,thank
Ko phải Ko tin tưởng,disagree
Hi bạn,greet
"ah da vang. De e xem lai, thanks shop a",thank
gh  này dành cho bé từ sơ sinh đ n bao nhiêu tuổi ạ,query_knowledge_base
Thank shop nhiug,thank
Đúng roi bạn,agree
Shop còn chiếc chấm bi hồng ko?,query_knowledge_base
Ý chị ơi,greet
Cái xe đáy bn hả bạn,query_knowledge_base
sshop ơi,greet
"Ok cám ơn sh nhiều, làm phiền sh nhé",thank
C ơi e lấy 1 ghế rung winfun nhé,query_knowledge_base
hi shop ơi,greet
shopw ơi,greet
Thêm 1 thanh ngang dưới chân,query_knowledge_base
gặm nướu này xuất xứ shop ơi,query_knowledge_base
Vâng cung. Đc ạ,agree
B ớiiiii,greet
Cảm ơn shop nhiều nhiều :),thank
Vâng ạ em đang xem đây,agree
aloooo ban oi,greet
Ko phải xanh,disagree
Ơ shop cho mình hỏi là muốn mua cái loại có giỏ đựng đồ xanh k hoạ tiết,query_knowledge_base
"Vâng,",agree
Dung roi ban oi,agree
Alo alo ak,greet
chon noi cho be tam 80 cen,query_knowledge_base
xe này của hãng nào vậy à?,query_knowledge_base
"Oki, thanks ah",thank
"Thank shop, sẽ ủng hộ dài dài ạ ❤️",thank
bn oie,greet
Nên ông ấy ko thích,disagree
alo mình trc,greet
"Ok m cam on b rất nhiều, m se nhan lai b nha",thank
Ô bạn ơi,greet
Hi shop !,greet
Ib gia cho minn nha,query_knowledge_base
Da vâng.,agree
Hjx uk,agree
Đúng rồi 17 tạ hiện số dt 0967761548,agree
